istudy,Participant ID,timestamp,Date,duration,point,score,total_attempts,total_bonus_collected,total_jewels_collected
5,U1281303753,1579632228000,2020-01-21,1000.0,0.0,0.0,0.0,0.0,0.0
5,U1281303753,1577685602000,2019-12-30,39000.0,2.0,100.0,24.0,53.0,25.0
5,U1281303753,1577685059000,2019-12-30,91000.0,0.0,0.0,29.0,0.0,0.0
6,U35797573,1608303459255,2020-12-18,3942.0,2.0,100.0,3.0,177.0,3.0
6,U35797573,1601043732000,2020-09-25,60000.0,1.0,96.2,25.0,32.0,25.0
6,U35797573,1600956189000,2020-09-24,45000.0,2.0,100.0,24.0,46.0,25.0
6,U35797573,1600955865000,2020-09-24,57000.0,2.0,100.0,24.0,35.0,25.0
6,U35797573,1600535837000,2020-09-19,41000.0,2.0,100.0,24.0,51.0,25.0
6,U35797573,1600456074000,2020-09-18,46000.0,2.0,100.0,24.0,46.0,25.0
6,U35797573,1600369686000,2020-09-17,43000.0,2.0,100.0,24.0,48.0,25.0
6,U35797573,1600274879000,2020-09-16,32000.0,2.0,100.0,24.0,60.0,25.0
6,U35797573,1600179023000,2020-09-15,36000.0,2.0,100.0,24.0,55.0,25.0
6,U35797573,1600112221000,2020-09-14,55000.0,2.0,100.0,24.0,37.0,25.0
6,U35797573,1600012283000,2020-09-13,38000.0,1.0,96.2,25.0,54.0,25.0
6,U35797573,1599931247000,2020-09-12,64000.0,2.0,100.0,24.0,28.0,25.0
6,U35797573,1599832994000,2020-09-11,42000.0,2.0,100.0,24.0,49.0,25.0
6,U35797573,1599757514000,2020-09-10,46000.0,2.0,100.0,24.0,45.0,25.0
6,U35797573,1599660644000,2020-09-09,44000.0,2.0,100.0,24.0,47.0,25.0
6,U35797573,1599577111000,2020-09-08,49000.0,2.0,100.0,24.0,42.0,25.0
6,U35797573,1599488144000,2020-09-07,61000.0,2.0,100.0,24.0,30.0,25.0
6,U35797573,1599401180000,2020-09-06,51000.0,1.0,89.3,27.0,41.0,25.0
6,U35797573,1599351983000,2020-09-05,39000.0,2.0,100.0,24.0,52.0,25.0
6,U35797573,1599059243000,2020-09-02,45000.0,2.0,100.0,24.0,47.0,25.0
6,U35797573,1598974372000,2020-09-01,49000.0,2.0,100.0,24.0,42.0,25.0
6,U35797573,1598888768000,2020-08-31,32000.0,2.0,100.0,24.0,59.0,25.0
6,U35797573,1598807726000,2020-08-30,40000.0,1.0,96.2,25.0,52.0,25.0
6,U35797573,1598710997000,2020-08-29,42000.0,2.0,100.0,24.0,49.0,25.0
6,U35797573,1598651078000,2020-08-28,58000.0,1.0,96.2,25.0,33.0,25.0
6,U35797573,1598451521000,2020-08-26,51000.0,1.0,92.6,26.0,41.0,25.0
10,U8169009,1590091733000,2020-05-21,2000.0,0.0,0.0,0.0,0.0,0.0
10,U8169009,1588095617000,2020-04-28,82000.0,1.0,96.2,25.0,21.0,25.0
10,U8169009,1588005674000,2020-04-27,95000.0,1.0,96.2,25.0,6.0,25.0
10,U8169009,1587929027000,2020-04-26,91000.0,0.0,0.0,14.0,0.0,0.0
10,U8169009,1587829788000,2020-04-25,91000.0,0.0,0.0,12.0,0.0,0.0
10,U8169009,1587756861000,2020-04-24,93000.0,1.0,96.2,25.0,4.0,25.0
10,U8169009,1587654052000,2020-04-23,92000.0,0.0,0.0,21.0,0.0,0.0
10,U8169009,1587565183000,2020-04-22,84000.0,2.0,100.0,24.0,15.0,25.0
10,U8169009,1587141512000,2020-04-17,75000.0,2.0,100.0,24.0,23.0,25.0
10,U8169009,1587057423000,2020-04-16,92000.0,0.0,0.0,12.0,0.0,0.0
10,U8169009,1586974083000,2020-04-15,92000.0,2.0,100.0,24.0,8.0,25.0
10,U8169009,1586457349000,2020-04-09,89000.0,1.0,96.2,25.0,13.0,25.0
10,U8169009,1586363549000,2020-04-08,84000.0,2.0,100.0,24.0,17.0,25.0
10,U8169009,1586188447000,2020-04-06,69000.0,2.0,100.0,24.0,33.0,25.0
10,U8169009,1581962567000,2020-02-17,83000.0,2.0,100.0,24.0,20.0,25.0
13,U33657183,1583848820000,2020-03-10,45000.0,2.0,100.0,24.0,47.0,25.0
13,U33657183,1583247626000,2020-03-03,51000.0,2.0,100.0,24.0,41.0,25.0
13,U33657183,1583182834000,2020-03-02,56000.0,2.0,100.0,24.0,35.0,25.0
13,U33657183,1583010914000,2020-02-29,51000.0,2.0,100.0,24.0,40.0,25.0
13,U33657183,1582923646000,2020-02-28,46000.0,2.0,100.0,24.0,45.0,25.0
13,U33657183,1582038258000,2020-02-18,56000.0,2.0,100.0,24.0,35.0,25.0
13,U33657183,1580850092000,2020-02-04,67000.0,2.0,100.0,24.0,25.0,25.0
13,U33657183,1580419298000,2020-01-30,43000.0,2.0,100.0,24.0,49.0,25.0
13,U33657183,1579806995000,2020-01-23,54000.0,2.0,100.0,24.0,38.0,25.0
13,U33657183,1578582733000,2020-01-09,55000.0,2.0,100.0,24.0,37.0,25.0
13,U33657183,1578189160000,2020-01-04,59000.0,1.0,96.2,25.0,33.0,25.0
13,U33657183,1577826019000,2019-12-31,49000.0,2.0,100.0,24.0,43.0,25.0
13,U33657183,1577739898000,2019-12-30,7000.0,0.0,0.0,0.0,0.0,0.0
13,U33657183,1577719829000,2019-12-30,91000.0,0.0,0.0,20.0,0.0,0.0
13,U33657183,1576702871000,2019-12-18,59000.0,2.0,100.0,24.0,33.0,25.0
13,U33657183,1576447341000,2019-12-15,60000.0,2.0,100.0,24.0,31.0,25.0
13,U33657183,1576270866000,2019-12-13,52000.0,2.0,100.0,24.0,39.0,25.0
13,U33657183,1576246161000,2019-12-13,91000.0,0.0,0.0,20.0,0.0,0.0
13,U33657183,1575752571000,2019-12-07,56000.0,2.0,100.0,24.0,35.0,25.0
13,U33657183,1575385223000,2019-12-03,91000.0,0.0,0.0,21.0,0.0,0.0
13,U33657183,1575061758000,2019-11-29,55000.0,2.0,100.0,24.0,36.0,25.0
13,U33657183,1574801142000,2019-11-26,59000.0,2.0,100.0,24.0,32.0,25.0
13,U33657183,1574708628000,2019-11-25,62000.0,1.0,96.2,25.0,29.0,25.0
13,U33657183,1574635590000,2019-11-24,75000.0,2.0,100.0,24.0,16.0,25.0
13,U33657183,1574556888000,2019-11-23,67000.0,2.0,100.0,24.0,24.0,25.0
13,U33657183,1574556052000,2019-11-23,49000.0,2.0,100.0,24.0,42.0,25.0
13,U33657183,1574555874000,2019-11-23,91000.0,0.0,0.0,8.0,0.0,0.0
15,U89170266,1618851502120,2021-04-19,1610.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1618417573596,2021-04-14,1617.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1618000930583,2021-04-09,1415.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1617827494449,2021-04-07,1587.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1617637890566,2021-04-05,2668.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1617211685881,2021-03-31,1124.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1617046838052,2021-03-29,1772.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1616172869194,2021-03-19,1984.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1615993551582,2021-03-17,1857.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1615580379420,2021-03-12,2177.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1615402378177,2021-03-10,2423.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1614630914179,2021-03-01,1437.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1614351752165,2021-02-26,1157.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1614006166724,2021-02-22,2709.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1613747152509,2021-02-19,1816.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1613576844087,2021-02-17,1292.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1613401418940,2021-02-15,1289.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1613146027531,2021-02-12,1280.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1612969315638,2021-02-10,1129.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1612808568885,2021-02-08,1566.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1612204129973,2021-02-01,1741.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1611586938941,2021-01-25,1438.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1611251676795,2021-01-21,1483.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1610557630664,2021-01-13,1827.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1610396660665,2021-01-11,1827.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1609879246489,2021-01-05,1407.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1609345922942,2020-12-30,1292.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1609201022651,2020-12-28,2537.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1608752533745,2020-12-23,1292.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1608572901907,2020-12-21,1839.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1605899240878,2020-11-20,1432.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1604937622938,2020-11-09,1859.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1603917029873,2020-10-28,1337.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1603721933672,2020-10-26,1103.0,2.0,100.0,3.0,179.0,3.0
15,U89170266,1603492449259,2020-10-23,2011.0,2.0,100.0,3.0,178.0,3.0
15,U89170266,1601308899000,2020-09-28,39000.0,2.0,100.0,24.0,52.0,25.0
15,U89170266,1601158361000,2020-09-26,41000.0,2.0,100.0,24.0,51.0,25.0
15,U89170266,1600869706000,2020-09-23,30000.0,2.0,100.0,24.0,61.0,25.0
15,U89170266,1584572453000,2020-03-18,33000.0,2.0,100.0,24.0,58.0,25.0
15,U89170266,1584371024000,2020-03-16,31000.0,2.0,100.0,24.0,60.0,25.0
15,U89170266,1584109962000,2020-03-13,32000.0,2.0,100.0,24.0,60.0,25.0
15,U89170266,1583937513000,2020-03-11,33000.0,2.0,100.0,24.0,59.0,25.0
15,U89170266,1583524577000,2020-03-06,31000.0,0.0,0.0,16.0,0.0,0.0
15,U89170266,1583432960000,2020-03-05,33000.0,2.0,100.0,24.0,59.0,25.0
15,U89170266,1583349468000,2020-03-04,55000.0,2.0,100.0,24.0,37.0,25.0
15,U89170266,1583254790000,2020-03-03,35000.0,2.0,100.0,24.0,56.0,25.0
15,U89170266,1582988774000,2020-02-29,39000.0,2.0,100.0,24.0,52.0,25.0
15,U89170266,1582902068000,2020-02-28,32000.0,2.0,100.0,24.0,59.0,25.0
15,U89170266,1582738822000,2020-02-26,30000.0,2.0,100.0,24.0,62.0,25.0
15,U89170266,1582470220000,2020-02-23,36000.0,2.0,100.0,24.0,55.0,25.0
15,U89170266,1582405259000,2020-02-22,49000.0,2.0,100.0,24.0,42.0,25.0
15,U89170266,1582304882000,2020-02-21,35000.0,2.0,100.0,24.0,57.0,25.0
15,U89170266,1582212963000,2020-02-20,51000.0,2.0,100.0,24.0,41.0,25.0
15,U89170266,1582130297000,2020-02-19,37000.0,2.0,100.0,24.0,55.0,25.0
15,U89170266,1582039237000,2020-02-18,58000.0,2.0,100.0,24.0,33.0,25.0
15,U89170266,1581952167000,2020-02-17,40000.0,2.0,100.0,24.0,52.0,25.0
15,U89170266,1581873422000,2020-02-16,50000.0,2.0,100.0,24.0,42.0,25.0
15,U89170266,1581807724000,2020-02-15,53000.0,2.0,100.0,24.0,39.0,25.0
